"Titre,Créateur,Sujet,Editeur,Type,Format,Identifiant,Source,Langue,Résumé,""Date de disponibilité"",""Date de publication"",""Importance matérielle"",""Couverture spatiale"",""Couverture temporelle"",Licence,""P35 has identified"",""P70 documents"",""P4 has time-span"",""P14 carried out by"",""P1 is identified by"",""P2 has type"""																																
(29). Sud-est du Finistère, Pays de Cornouailles. Rapport de prospection 2016,DUVOLLET David,RAP03317,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03317,Service régional de l'archéologie de Bretagne,French,,,2016,52.32 Mo | 1 vol. (p.) : ill. en coul.	 30 cm.,http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03317,prospection diachronique																															
"Plurien (22). La Caillibotière : relevé microtopographique. Rapport de PT 2016,""Morel, Alexandre"",,Association ARVALES,,,,,French,,Disponible,2016,1 vol. (p.) : ill. en coul."	" 30 cm. | 49.9 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3023414 Côtes-d'Armor | http://www.geonames.org/6429093 Plurien,,Owned by SRA Bretagne,,,1 au 8 juillet 2016,""Morel, Alexandre"",RAP03322,prospection thématique"																															
"Concarneau (29). Coguen II : des indices d'occupation du Néolithique moyen et du haut Moyen Âge. Rapport de diagnostic,""Le Gall, Valérie"",RAP03319,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03319,Service régional de l'archéologie de Bretagne,French,,,2016,104.8 Mo | 1 vol. (p.) : ill. en coul."	 30 cm.,http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03319,diagnostic préventif																															
Plouhinec (29). Ménez-Dregan 1 : des Prénéandertaliens aux Néandertaliens à l'extrême ouest de l'Europe. Rapport de FP,GAILLARD Claire,RAP03316,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03316,Service régional de l'archéologie de Bretagne,French,,,2016,62.96 Mo | 1 vol. (p.) : ill. en coul.	 30 cm.,http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03316,fouille programmée																															
"Lanleff (22). Le Bourg. Rapport de diagnostic,""http://www.viaf.org/viaf/22361122 Le Boulanger, Françoise"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,,,French,,Disponible,2016,1 vol. (p.) : ill. en coul."	" 30 cm. | 251.2 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3023414 Côtes-d'Armor | http://www.geonames.org/6428992 Lanleff,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/22361122 Le Boulanger, Françoise"",RAP03323,diagnostic préventif"																															
"(22). Les tumuli de l'âge du Bronze ans le nord-ouest des Côtes d'Armor. Rapport de PI 2016,""Le Maire, Mikaël"",RAP03320,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03320,Service régional de l'archéologie de Bretagne,French,,,2016,306.4 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm.,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3023414 Côtes-d'Armor,,Owned by SRA Bretagne,,,,""Le Maire, Mikaël"",RAP03320,prospection thématique"																															
"Rannée (35). La Sallerie : du Bronze à l'argile, une route au coeur de l'histoire. Rapport de fouille,""Le Clézio, Laurence"",,Service régional de l'archéologie de Bretagne,,,,,French,,Disponible,2016,1 vol. (p.) : ill. en coul. "	" 30 cm. | 530.4 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432799 Rannée,,Owned by SRA Bretagne,,,,""Le Clézio, Laurence"",RAP03318,fouille préventive"																															
"Morlaix (29). Kergariou. Rapport de diagnostic,CASADEBAIG Sophie,RAP03094,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03094,Service régional de l'archéologie de Bretagne,French,,,2015,""15,66 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991772 Morlaix,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03094,diagnostic préventif"																															
"Plédéliac, Pléven (22). La Ville Merien et Le Champ du Moulin. Rapport de diagnostic,""http://www.viaf.org/viaf/307214042 Mentele, Serge"",RAP03093,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03093,Service régional de l'archéologie de Bretagne,French,,,2015,""(6,2 Ko) PDF File | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3023414 Côtes-d'Armor | http://www.geonames.org/6613926 Plédéliac,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03093,diagnostic préventif"																															
"Chantepie (35). La Planche. Rapport de diagnostic,""Leroux, Gilles"",RAP03280,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03280,Service régional de l'archéologie de Bretagne,French,,,2016,""3,35 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6448544 Chantepie,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03280,diagnostic préventif"																															
"Bodilis, La Martyre et Ploudiry (29). Le Moulin de Créac'h Guial, Roudouguenvez et Keramen Izella. Rapport de diagnostic,""http://www.viaf.org/viaf/41873469 Leroux, Gilles"",RAP03282,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03282,Service régional de l'archéologie de Bretagne,French,,,2016,""12,47 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6448038 Bodilis | http://www.geonames.org/6455834 La Martyre | http://www.geonames.org/6453933 Ploudiry,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/41873469 Leroux, Gilles"",RAP03282,diagnostic préventif"																															
"Vannes (56). 13 bis rue Saint-Tropez. Rapport de diagnostic,SERIS Damien,RAP03281,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03281,Service régional de l'archéologie de Bretagne,French,,,2016,""6,78 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2970777 Vannes,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03281,diagnostic préventif"																															
"Ploemel (56). Poul Hoh. Rapport de sondage,KAYSER Olivier,RAP03097,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03097,Service régional de l'archéologie de Bretagne,French,,,1994,""10,074 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6437334 Ploemel,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03097,sondage"																															
"Vannes (56). 15 avenue Édouard Herriot. Rapport de diagnostic,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03095,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03095,Service régional de l'archéologie de Bretagne,French,,Disponible,2015,""3,90 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/2970777 Vannes,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03095,diagnostic préventif"																															
"Janzé (35). La Lande au Brun. Rapport de diagnostic,""http://www.viaf.org/viaf/8490149719122411130009 Bourne, Stéphane"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,RAP03101,,French,,Disponible,2015,""6,61 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432716 Janzé,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/8490149719122411130009 Bourne, Stéphane"",RAP03101,diagnostic préventif"																															
"Caudan (56). Lenn Sec'h : occupations néolithiques et médiévales. Rapport de fouille,""http://www.viaf.org/viaf/1200159234717103372444 Crowch, Aurélie"",,Conseil départemental du Morbihan,,,,,French,,Disponible,2015,1 vol. (p.) : ill. en coul."	" 30 cm. | 230 Mo,http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6449841 Caudan,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/1200159234717103372444 Crowch, Aurélie"",RAP03091,fouille préventive"																															
"Vannes (56). 27 impasse Joseph Loth. Rapport de fouille,OEIL DE SALEYS Sébastien,RAP03100,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03100,Service régional de l'archéologie de Bretagne,French,,,2015,""13,09 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2970777 Vannes,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03100,fouille préventive"																															
"Sarzeau (56). Château de Suscinio, le logis Nord. Rapport intermédiaire de FP 2013-2015,""http://www.viaf.org/viaf/508159234258103371010 Vincent, Karine"",RAP03099,Conseil départemental du Morbihan,Online PDF file,,RAP03099,Service régional de l'archéologie de Bretagne,French,,,2015,""21,99 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6437396 Sarzeau,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/508159234258103371010 Vincent, Karine"",RAP03099,fouille programmée"																															
"Saint-Sauveur-des-Landes (35). ZAC des Vairies, Les Croisés : un établissement rural gaulois en milieu humide. Rapport de fouille,""http://www.viaf.org/viaf/67150565733806252223 Sicard, Sandra"",,https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,054241,,French,,Disponible,2016,2 vol. (561-369 p.) : ill. en coul."	" 30 cm. | 88-76 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432862 Saint-Sauveur-des-Landes,https://ark.frantiq.fr/ark:/26678/pcrtxVmyWBbIQq second âge du fer,Owned by SRA Bretagne,35 310 0015,https://ark.frantiq.fr/ark:/26678/pcrt9n2Ts8Ezd2 exploitation agricole | https://ark.frantiq.fr/ark:/26678/pcrtuNA5xRSr9l artisanat | https://ark.frantiq.fr/ark:/26678/pcrt1DMOWvDF4j céramique | https://ark.frantiq.fr/ark:/26678/pcrtxs8Kml8jLw outil | https://ark.frantiq.fr/ark:/26678/pcrt4GqimUgoOq verre | https://ark.frantiq.fr/ark:/26678/pcrtf8SaMYKckm objet métallique | https://ark.frantiq.fr/ark:/26678/pcrtbfqVEeganP industrie lithique | https://ark.frantiq.fr/ark:/26678/pcrtSpZKiFuqSw flore | https://ark.frantiq.fr/ark:/26678/pcrtms2OAv82PY fosse | https://ark.frantiq.fr/ark:/26678/pcrtIqEHwJLuq0 four,21/06/2012 au 30/11/2012,""http://www.viaf.org/viaf/67150565733806252223 Sicard, Sandra"",RAP03283,fouille préventive"																															
"Carhaix-Plouguer (29). Rue Bobby Sands. Rapport de diagnostic,BATT Michaël,RAP03127,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03127,Service régional de l'archéologie de Bretagne,French,,,1995,""10,367 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6448052 Carhaix-Plouguer,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03127,sondage"																															
"Baden (56). Rue de Lannic : des structures de l'âge du Bronze et du Gallo-romain. Rapport de diagnostic,""Sicard, Sandra"",RAP03129,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03129,Service régional de l'archéologie de Bretagne,French,,,2015,""8,36 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | Baden,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03129,diagnostic préventif"																															
"Brest (29). ZAC de la Fontaine Margot, tranche 2. Rapport de diagnostic,CASADEBAIG Sophie,RAP03131,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03131,Service régional de l'archéologie de Bretagne,French,,,2015,""3,50 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3030300 Brest,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03131,diagnostic préventif"																															
"Rennes (35). Rue Jean-Marie Duhamel (puits Duhamel, métro ligne B). Rapport de diagnostic,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03132,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03132,Service régional de l'archéologie de Bretagne,French,,Disponible,2015,""9,44 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/2983990 Rennes,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03132,diagnostic préventif"																															
"Redon (35). 16 place Saint-Sauveur,""Cahu, Didier"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,,,French,,Disponible,2015,""7,64 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/2984192 Redon,,Owned by SRA Bretagne,,,,""Cahu, Didier"",RAP03130,diagnostic préventif"																															
"Theix (56). Talhouet. Rapport de sauvetage,""http://www.viaf.org/viaf/222448258 André, Patrick"",RAP03135,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03135,Service régional de l'archéologie de Bretagne,French,,,1981,""2,873 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6437403 Theix-Noyalo,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03135,sondage"																															
"Quimper (29). La carte archéologique de Quimper. Rapport de FP,""http://www.viaf.org/viaf/36929479 Le Bihan, Jean-Paul"",RAP03136,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03136,Service régional de l'archéologie de Bretagne,French,,,1999,""13,741 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/36929479 Le Bihan, Jean-Paul"",RAP03136,fouille programmée"																															
"(56). Autour du golfe du Morbihan, les landes de Lanvaux et le sud de la vallée de la Vilaine. Rapport de PD 2014,""http://www.viaf.org/viaf/167436025 Daré, Sébastien"",RAP03121,Centre d'Études et de Recherches Archéologiques du Morbihan (CERAM),Online PDF file,,RAP03121,Service régional de l'archéologie de Bretagne,French,,Disponible,2015,146 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm.,http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/167436025 Daré, Sébastien"",RAP03121,prospection diachronique"																															
"Guignen (35). Le Tertre : occupations de La Tène moyenne - La Tène finale. Rapport de fouille,""Barbeau, Sandrine"",,https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,,,French,,Disponible,2015,""1 vol. (p.) : ill. en coul."	" 30 cm. | 43,43 Mo"",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432711 Guignen,https://ark.frantiq.fr/ark:/26678/pcrtxVmyWBbIQq second âge du fer,Owned by SRA Bretagne,,,,""Barbeau, Sandrine"",RAP03102,fouille préventive"																															
"Noyal-sur-Vilaine (35). La Rebourserie : Le Clos Saint-Pierre, un établissement rural fortifié des XIIe-XVe siècles en Pays de Rennes. Rapport de fouille,DELAHAYE François,RAP03134,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03134,Service régional de l'archéologie de Bretagne,French,,,2015,""14,41 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432775 Noyal-sur-Vilaine,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03134,fouille préventive"																															
"Ossé (35). La Claraiserie (tracé de la LGV Rennes - Le Mans, secteur 2) : une exploitation agricole de la fin du second âge du Fer et du début de l'Antiquité. Rapport de fouille,""Le Gall, Joseph"",RAP03133,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03133,Service régional de l'archéologie de Bretagne,French,,,2015,""43,71 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/2989122 Ossé | http://www.geonames.org/6448548 Châteaugiron,,Owned by SRA Bretagne,,,,""Le Gall, Joseph"",RAP03133,fouille préventive"																															
"Guipavas (29). ZAC Nord Lavallot : occupations diachroniques du plateau Léonard : des premiers agriculteurs à la libération de Brest. Rapport de diagnostic,""http://www.viaf.org/viaf/58608823 Pailler, Yvan"",RAP03137,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03137,Service régional de l'archéologie de Bretagne,French,,,2015,""54,85 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6448086 Guipavas,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/58608823 Pailler, Yvan"",RAP03137,diagnostic préventif"																															
"Montgermont (35). ZAC Les Petits Prés : un établissement rural antique de la région rennaise. Rapport de fouille,""http://www.viaf.org/viaf/11144928021854340055 Le Martret, Annaïg"",,EVEHA,,,,,French,,,2015,205 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm.,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432762 Montgermont,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/11144928021854340055 Le Martret, Annaïg"",RAP03138,fouille préventive"																															
"Carhaix-Plouguer (29). Rue Le Borgne. Rapport de diagnostic,""Le Cloirec, Gaétan"",RAP03139,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03139,Service régional de l'archéologie de Bretagne,French,,,2015,""5,70 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6448052 Carhaix-Plouguer,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03139,diagnostic préventif"																															
Carnac (56). 46 route de Ker Lann. Rapport de diagnostic,HENAFF Xavier,RAP03285,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03285,Service régional de l'archéologie de Bretagne,French,,,2016,53 Mo | 1 vol. (p.) : ill. en coul.	 30 cm.,http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6455179 Carnac,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03285,diagnostic préventif																															
"Dinan (22). Place Duclos, rue de la Garaye, rue Thiers, porte de Saint-Malo et rue de l'école. Rapport de fouille,""Lecampion, Fabrice"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,,,French,,Disponible,2016,1 vol. (p.) : ill. en coul."	" 30 cm. | 140.25 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3023414 Côtes-d'Armor | http://www.geonames.org/3021356 Dinan,,Owned by SRA Bretagne,,,,""Lecampion, Fabrice"",RAP03287,fouille préventive"																															
"Carhaix-Plouguer (29). Kergorvo 2. Rapport de diagnostic,""Nicolas, Éric"",RAP03288,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03288,Service régional de l'archéologie de Bretagne,French,,,2016,42.10 Mo | 1 vol. (p.) : ill. en coul."	 30 cm.,http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6448052 Carhaix-Plouguer,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03288,diagnostic préventif																															
"Domloup (35). ZAC du Tertre, tranche 3 : un enclos funéraire du premier âge du Fer. Rapport de fouille,""http://www.viaf.org/viaf/67150565733806252223 Sicard, Sandra"",RAP03286,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03286,Service régional de l'archéologie de Bretagne,French,,,2016,53.39 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm.,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6616609 Domloup,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/67150565733806252223 Sicard, Sandra"",RAP03286,fouille préventive"																															
"Plélan-le-Grand (35). Enceintes de Bernohen. Rapport de sondage 2014,""Corre, André"",RAP03141,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03141,Service régional de l'archéologie de Bretagne,French,,,2015,""26,26 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432787 Plélan-le-Grand,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03141,sondage"																															
Éléments pour une nouvelle approche de l'âge du Bronze en Bretagne 	" le cadre chronologique et les formes de l'habitat. Rapport de PCR 2015,""http://www.viaf.org/viaf/307214041 Blanchet, Stéphane"",,https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,,,French,,Disponible,2016,544 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm.,http://www.geonames.org/3030288 Bretagne,https://ark.frantiq.fr/ark:/26678/pcrtGTWPtWn8qu âge du Bronze,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/307214041 Blanchet, Stéphane"",RAP03284,programme collectif de recherche"																														
"Riantec (56). Kerostin : une occupation diachronique continue du Néolithique moyen à la seconde guerre mondiale. Rapport de fouille,""Simier, Bastien"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,,,French,,Disponible,2015,""51,20 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6437360 Riantec,,Owned by SRA Bretagne,,,,""Simier, Bastien"",RAP03140,fouille préventive"																															
"Vannes (56). Rue Émile Burgault, rue Thomas de Closmadeuc, place Lucien Laroche. Rapport de diagnostic,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03295,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03295,Service régional de l'archéologie de Bretagne,French,,,2016,3.14 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm.,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/2970777 Vannes,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03295,diagnostic préventif"																															
"Lampaul-Ploudalmézeau (29). Sondages, suivi et études archéologiques du site de l'île du Bec. Rapport de sondage 2016,""http://www.viaf.org/viaf/14788952 Daire, Marie-Yvane"",RAP03290,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03290,Service régional de l'archéologie de Bretagne,French,,,2016,55.82 Mo | 1 vol. (p.) : ill. en coul."	 30 cm.,http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6614544 Lampaul-Ploudalmézeau,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03290,sondage																															
"Vannes (56). Rue du 28ème R.A. Rapport de diagnostic,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03293,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03293,Service régional de l'archéologie de Bretagne,French,,Disponible,2016,31.35 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm.,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/2970777 Vannes,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03293,diagnostic préventif"																															
"Vannes (56). 6 rue de l' Abbé Jacob. Rapport de diagnostic,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03294,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03294,Service régional de l'archéologie de Bretagne,French,,Disponible,2016,7.998 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm.,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/2970777 Vannes,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03294,diagnostic préventif"																															
"Hillion (22). Champ du Pommier : découverte de vestiges protohistoriques anciens. Rapport de diagnostic,""Roy, Eddie"",RAP03292,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03292,Service régional de l'archéologie de Bretagne,French,,,2016,33.25 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm.,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3023414 Côtes-d'Armor,,Owned by SRA Bretagne,,,,""Roy, Eddie"",RAP03292,diagnostic préventif"																															
"Camors, La Chapelle-Neuve, Brandivy (56). Forêt domaniale des Landes de Lanvaux (forêts de Camors, Floranges et Lanvaux). Rapport de prospection,""http://www.viaf.org/viaf/15097194 Dardignac, Cécile"",,Service régional de l'archéologie de Bretagne,,,,,French,,,2016,19.25 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm.,http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6455178 Camors | http://www.geonames.org/6614955 La Chapelle-Neuve | http://www.geonames.org/6449831 Brandivy,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/15097194 Dardignac, Cécile"",RAP03297,prospection diachronique"																															
"Iffendic (35). Le château de Boutavent,""Corre, André"",RAP03296,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03296,Service régional de l'archéologie de Bretagne,French,,,2016,13.89 Mo | 1 vol. (p.) : ill. en coul."	 30 cm.,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432714 Iffendic,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03296,sondage																															
